platform,org,repo,metric,timeKey,value,country,category,orgLabel
github,NixOS,nixpkgs,openrank,2020-05,951.44,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-06,1007.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-07,985.64,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-08,988.58,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-09,1012.2,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-10,1085.65,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-11,1171.76,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-12,1162.86,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-01,1226.88,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-02,1206.5,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-03,1168.07,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-04,1202.1,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-05,1282.33,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-06,1356.4,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-07,1281.98,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-08,1283.35,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-09,1297.48,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-10,1272,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-11,1234.76,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-12,1289.85,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-01,1345.78,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-02,1323.63,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-03,1323.97,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-04,1369.09,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-05,1408.63,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-06,1380.9,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-07,1409.42,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-08,1416.14,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-09,1321.93,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-10,1379.58,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-11,1438.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-12,1450.32,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-01,1493.32,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-02,1400.49,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-03,1502.52,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-04,1552.11,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-05,1648.21,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-06,1602.85,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-07,1714.02,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-08,1780.32,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-09,1643.06,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-10,1822.93,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-11,1936.88,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-12,1997.71,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-01,2140.99,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-02,1945.8,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-03,2007.11,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-04,2018.25,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-05,2040.86,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-06,2101.46,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-07,2190.06,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-08,2256.5,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-09,2195.27,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-10,2273.81,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-11,2385.72,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-12,2418.09,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-01,2391.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-02,2334.07,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-03,2303.81,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-04,2222.45,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-05,2268.05,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-06,2173.88,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-07,2089.62,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-08,2041.77,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-09,1884.66,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-10,1749.47,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-11,1668.58,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025-12,1583.21,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-10-raw,1162.02,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015Q1,285.34,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015Q2,574.43,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015Q3,740.95,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015Q4,1025.18,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016Q1,1121.69,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016Q2,1218.2,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016Q3,1292.71,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016Q4,1394.27,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017Q1,1480.9,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017Q2,1584.46,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017Q3,1609.44,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017Q4,1813.57,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018Q1,1926.12,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018Q2,2002.64,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018Q3,2019.03,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018Q4,2199.49,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019Q1,2261.16,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019Q2,2307.32,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019Q3,2492.09,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019Q4,2762.17,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020Q1,2777.53,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020Q2,2912.13,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020Q3,2986.42,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020Q4,3420.27,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021Q1,3601.45,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021Q2,3840.83,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021Q3,3862.81,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021Q4,3686.64,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022Q1,3993.38,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022Q2,4158.61,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022Q3,4147.49,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022Q4,4268.49,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023Q1,4396.34,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023Q2,4803.17,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023Q3,5137.4,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023Q4,5757.52,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024Q1,6093.9,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024Q2,6160.58,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024Q3,6641.83,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024Q4,7077.62,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025Q1,7029.48,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025Q2,6664.37,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025Q3,6016.05,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025Q4,5001.26,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015,9304.28,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016,13301.68,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017,16633.1,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018,21057.51,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019,25965.97,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020,33890.31,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021,39530.67,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022,45065.33,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023,56623.24,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024,73408.21,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025,59855.05,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-01,724.9,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-02,726.4,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-03,724.28,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-04,744.84,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-05,667.25,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-06,706.26,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-07,693.57,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-08,750.31,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-09,800.38,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-10,849.31,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-11,915.5,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015-12,1001.29,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-01,1023.45,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-02,1000.63,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-03,1100.02,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-04,1089.35,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-05,1110.18,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-06,1065.1,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-07,1109.19,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-08,1112.77,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-09,1245.41,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-10,1256.54,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-11,1105.61,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016-12,1083.43,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-01,1195.85,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-02,1346.67,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-03,1493.35,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-04,1325.35,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-05,1405.77,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-06,1149.89,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-07,1280,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-08,1357.95,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-09,1445.22,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-10,1573.27,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-11,1631.48,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017-12,1428.3,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-01,1579.45,CH,os,NixOS
